user_id,song_id,title,rating
user_182,6,Anh Mệt Rồi,4
user_273,99,Suýt Nữa Thì,4
user_11,48,Cứ Chill Thôi,5
user_296,106,Chúng Ta Của Hiện Tại,2
user_176,120,Trước Khi Em Tồn Tại,2
user_155,25,Cô Gái M52,5
user_231,122,Tình Ka Ngọt Ngào,1
user_157,50,Kém Duyên,2
user_266,42,Lưu Số Em Đi,2
user_141,87,Rồi Một Ngày,3
user_202,166,Ừ Có Anh Đây,2
user_154,69,Mắt Nice Cha Cha Tune,5
user_23,59,Lệ Lưu Ly,1
user_243,152,Đắm Tình,2
user_83,82,Querry,5
user_68,74,Nếu Biết Đó Là Lần Cuối,5
user_240,149,Chuyện Chúng Ta Sau Này,4
user_172,111,Thu Cuối,1
user_24,3,Anh Sẽ Đón Em,4
user_300,29,Dù Cho Mai Về Sau,4
user_259,44,Hông Về Tình Yêu,5
user_119,101,Sau Tất Cả,2
user_119,64,Muốn Quên Được Em,2
user_67,102,Simple Love,5
user_144,57,Lạc Vào Trong Mơ,3
user_201,144,Yêu Không Cần Hứa,2
user_43,135,3107-3,1
user_62,31,Em Không Quay Về,3
user_142,105,Sóng,3
user_25,50,Kém Duyên,5
user_287,24,Cô Gái Này Là Của Ai,1
user_206,161,Đêm Trăng Tình Yêu,2
user_232,108,Thằng Điên,2
user_278,53,Xứng Đôi Cưới Thôi,5
user_86,12,Tết Này Con Sẽ Về,2
user_116,139,Thích Em Hơi Nhiều,3
user_283,129,Tết Đong Đầy,3
user_291,16,Cháu Xin Lỗi Chú,2
user_98,132,Internet Love,1
user_39,161,Đêm Trăng Tình Yêu,4
user_152,79,Như Anh Mơ,4
user_52,68,Mơ,1
user_75,64,Muốn Quên Được Em,1
user_144,70,Những Lời Hứa Bỏ Quên,4
user_266,105,Sóng,5
user_2,18,Chuyện Đôi Ta,3
user_262,101,Sau Tất Cả,2
user_75,161,Đêm Trăng Tình Yêu,1
user_195,3,Anh Sẽ Đón Em,2
user_274,66,Miên Man,5
user_27,113,Thì Thầm Thích Thả Thính,5
user_91,44,Hông Về Tình Yêu,2
user_223,32,Em Còn Nhớ Anh Không,4
user_92,164,Để Anh Một Mình,5
user_296,71,Nghe Bài Này Đi Em,2
user_71,166,Ừ Có Anh Đây,2
user_238,29,Dù Cho Mai Về Sau,5
user_196,164,Để Anh Một Mình,1
user_47,74,Nếu Biết Đó Là Lần Cuối,5
user_138,79,Như Anh Mơ,3
user_90,4,Anh Thề Đấy,3
user_41,159,Đúng Người Đúng Thời Điểm,1
user_259,149,Chuyện Chúng Ta Sau Này,2
user_55,69,Mắt Nice Cha Cha Tune,3
user_257,138,Shhhhhhh...,1
user_139,109,Mai Mình Xa,2
user_237,111,Thu Cuối,5
user_95,135,3107-3,1
user_168,49,Không Yêu Xin Đừng Nói,2
user_300,77,Your Smile,2
user_252,107,Thiên Thần Tình Yêu,2
user_147,18,Chuyện Đôi Ta,4
user_230,119,Váy Cưới,1
user_195,161,Đêm Trăng Tình Yêu,2
user_78,60,Lỡ Say Bye Là Bye,1
user_131,138,Shhhhhhh...,2
user_229,87,Rồi Một Ngày,1
user_169,135,3107-3,4
user_20,15,Bỏ Em Vào Balo,5
user_229,24,Cô Gái Này Là Của Ai,2
user_96,9,Anh Đã Từ Bỏ Rồi Đấy,1
user_157,164,Để Anh Một Mình,1
user_247,162,Tình Cờ Yêu Em,1
user_47,9,Anh Đã Từ Bỏ Rồi Đấy,4
user_61,76,Tell The Kids I Love Them,1
user_246,9,Anh Đã Từ Bỏ Rồi Đấy,3
user_140,89,Lan Man,4
user_94,151,Em Làm Gì Mùa Dịch,5
user_294,152,Đắm Tình,2
user_99,73,Như Anh Đã Thấy Em,5
user_16,27,Một Nhà,3
user_63,107,Thiên Thần Tình Yêu,1
user_267,48,Cứ Chill Thôi,3
user_220,133,Va Vào Giai Điệu Này,3
user_30,66,Miên Man,3
user_151,5,Anh Biết,1
user_218,133,Va Vào Giai Điệu Này,4
user_168,164,Để Anh Một Mình,1
user_151,31,Em Không Quay Về,3
user_129,13,Bông Hoa Chẳng Thuộc Về Ta,4
user_295,83,Bông Hoa Đẹp Nhất,1
user_56,131,Từng Quen,2
user_86,52,Em Của Anh Đừng Của Ai,3
user_26,61,Mashup Lỡ Duyên,1
user_169,45,Hẹn Em Kiếp Sau,1
user_239,29,Dù Cho Mai Về Sau,5
user_58,139,Thích Em Hơi Nhiều,1
user_235,52,Em Của Anh Đừng Của Ai,3
user_275,81,Phố Cũ Còn Anh,1
user_4,164,Để Anh Một Mình,4
user_159,41,Phố Đã Lên Đèn,5
user_157,117,Ba,5
user_143,44,Hông Về Tình Yêu,1
user_179,84,Quá Lâu,5
user_214,10,Ba Kể Con Nghe,1
user_105,148,Yêu Đơn Phương Là Gì,5
user_206,152,Đắm Tình,2
user_236,52,Em Của Anh Đừng Của Ai,5
user_252,16,Cháu Xin Lỗi Chú,1
user_180,66,Miên Man,1
user_196,84,Quá Lâu,3
user_136,127,Già Cùng Nhau Là Được,2
user_73,9,Anh Đã Từ Bỏ Rồi Đấy,3
user_93,164,Để Anh Một Mình,3
user_196,28,Từ Ngày Em Đến,2
user_93,133,Va Vào Giai Điệu Này,1
user_180,73,Như Anh Đã Thấy Em,5
user_158,93,Khi Mà,5
user_128,132,Internet Love,1
user_286,107,Thiên Thần Tình Yêu,4
user_218,51,Liệu Giờ,1
user_106,28,Từ Ngày Em Đến,5
user_200,115,Nghe Em,2
user_74,159,Đúng Người Đúng Thời Điểm,2
user_52,6,Anh Mệt Rồi,3
user_247,70,Những Lời Hứa Bỏ Quên,1
user_198,115,Nghe Em,5
user_14,128,Tương Tư,5
user_96,146,Yêu Người Như Anh,1
